respid,sample,int_date,fcall,attempt,refusal,ilang,cregion,state,density,usr,scregion,sstate,susr,sdensity,igender,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,form,llitext,phtype,qs1,q1,q2,campnii,q7,q8,q11,q12,q13,q28a,q28b,q28c,q28df1,q28e,q28ff1,q28gf1,q28hf1,q28if1,q28jf2,q28kf2,q28lf2,q28mf2,q28nf2,q28of2,q28pf2,q33af1,q33bf1,q33cf1,q33df1,q33ef2,q33ff2,q33gf2,q33hf2,q44a,q44b,q45a,q45b,q46,q50af1,q50bf1,q50cf1,q50df2,q50ef2,q51af1,q51bf1,q51cf2,q51df2,q58,q59,q64f1,q65f2,q66a,q66b,q66c,q66df1,q66e,q66ff2,q73,q74,q74a,q74b,q75,q76,q77,q78,q79,q83a,q83b,q84,q93,q96,q97,q98,q99,q100a,q100b,q100c,q100d,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,born,attend,income,reg,party,partyln,q101,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,cellweight,weight
200105,Cell phone,180920,180918,3,No,English,South,GA,4,S,South,GA,,4,Female,Yes,White,,,,FORM 2,,,18 or older,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Not too closely,Republican Party's candidate,,Less,"Yes, will be a factor",Trump not much of a factor,Somewhat important,Somewhat important,Very important,,,,,,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,,,Not even tempered,Well informed,(VOL) Neither particularly,Stands up for what he believes in,Good,Worse,Only fair shape,Improve some,No more secure today than it was before the 2008 economic crisis,,,,(VOL) Neither,Republican Party,,,(VOL) Neither,(VOL) Neither,,Somewhat concerned,,(VOL) Both,Statement #2,Statement #2,Statement #2,,Statement #1,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,,(VOL) Don't know/Refused,Illegal in all cases,"No, illegal",Mostly unfavorable,Mostly unfavorable,(VOL) Refused,A little [OR],(VOL) Don't know/Refused,Not too confident [OR],(VOL) Don't know/Refused,(VOL) Don't know/Refused,,,,,Male,59,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"Yes, would",Once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,2,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,.3012986,.2808725
200108,Cell phone,180919,180918,2,No,English,South,FL,2,R,South,FL,,2,Female,No,Black or African-American,,,,FORM 1,,,18 or older,Satisfied,Approve,Very closely,Republican Party's candidate,,More,"Yes, will be a factor",For Trump,Very important,Very important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,,,,,,,,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Good,Better,Excellent shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Republican Party,Republican Party,,,Republican Party,Republican Party,,,Somewhat concerned,,Circumstances beyond control,,(VOL) Don't know/Refused,Statement #1,Statement #1,Statement #1,Statement #2,,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,Approve,,Legal in all cases,"Yes, legal",Mostly favorable,Mostly unfavorable,Mostly favorable,A lot,Not too confident [OR],Somewhat confident,,,Good,Excellent,Good,Good,Female,71,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Roman Catholic (Catholic),,"No, would not",Seldom,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress have an obligation to support Donald Trump's policies & programs because he is a Rep. president,Rep/lean Rep,Moderate,Mod-Lib Rep,Mod-Lib Rep/ln Rep,2,2,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.4409797,.3840623
200109,Cell phone,180918,180918,1,No,English,Northeast,NJ,2,S,South,VA,,Highest,Female,No,Black or African-American,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Very closely,Democratic Party's candidate,,More,"Yes, will be a factor",Against Trump,Very important,Very important,Very important,,,,,,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Only fair,Worse,Only fair shape,Improve some,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,Somewhat concerned,,Because he or she had more advantages in life than most other people,Statement #1,Statement #1,Statement #1,,Statement #2,Statement #1,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,,Bad for the United States,Legal in most cases,"Yes, legal",Very unfavorable,Mostly favorable,Mostly unfavorable,A lot,Very confident,Not at all confident,Right decision,Mostly failed,Only fair,Poor,Only fair,Only fair,Female,33,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Roman Catholic (Catholic),,"No, would not",A few times a year,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Very liberal,Lib Dem,Lib Dem/ln Dem,1,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.2665747,1.6282437
200110,Cell phone,180918,180918,1,No,English,Midwest,IN,2,,Midwest,IN,,2,Female,Yes,White,,,,FORM 2,,,18 or older,Satisfied,Approve,Very closely,Republican Party's candidate,,More,"Yes, will be a factor",Trump not much of a factor,Very important,Somewhat important,Very important,,,,,,,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Good,Better,Good shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],,,,Republican Party,Republican Party,,,Republican Party,Republican Party,,Not at all concerned,,Because he or she worked harder than most other people [OR],Statement #2,Statement #2,Statement #2,,Statement #1,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Better border security and stronger enforcement of our immigration laws,,Good for the United States,Illegal in most cases,"Yes, legal",Mostly unfavorable,Very unfavorable,Very unfavorable,A lot,Not at all confident,Not too confident [OR],Right decision,Mostly failed,,,,,Male,42,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Mixed Race,Other,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"Yes, would",More than once a week,(VOL) Don't know/Refused,"Are you PROBABLY registered, but there is a chance your registration has lapsed [OR]",Independent,Republican,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Ind,Cons Rep/ln Rep,5,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,.5756246,.6343844
200112,Cell phone,180918,180918,1,No,English,South,GA,Lowest,S,South,GA,,3,Female,Yes,Or some other race,,,,FORM 1,,,18 or older,Satisfied,Approve,Very closely,Republican Party's candidate,,More,"No, will not",For Trump,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not at all important,Not at all important,,,,,,,,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Excellent,Better,Only fair shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Republican Party,Republican Party,,,Republican Party,Republican Party,,,Not at all concerned,,Lack of effort,,Statement #2,Statement #1,Statement #2,Statement #2,Statement #1,,Control gun ownership,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Better border security and stronger enforcement of our immigration laws,Approve,,Legal in all cases,"No, illegal",Mostly favorable,Very unfavorable,Mostly unfavorable,A lot,Not at all confident,Very confident,,,,,,,Female,68,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"Yes, would",Once or twice a month,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress have an obligation to support Donald Trump's policies & programs because he is a Rep. president,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,2,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,1.7445906,.8435595
200117,Cell phone,180918,180918,1,No,English,South,TX,4,S,Midwest,OH,,3,Male,No,White,,,,FORM 2,,,18 or older,Satisfied,Approve,Fairly closely,Republican Party's candidate,,Less,"No, will not",For Trump,Very important,Very important,Very important,,,,,,,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,,,,,Not even tempered,Not well informed,Keeps his promises,Stands up for what he believes in,Good,Same,Good shape,Get a little worse,More secure today than it was before the 2008 economic crisis [OR],,,,Republican Party,Republican Party,,,Republican Party,Republican Party,,Very concerned,,Because he or she worked harder than most other people [OR],Statement #2,Statement #2,Statement #1,,Statement #1,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,,Good for the United States,Illegal in most cases,"Yes, legal",Mostly favorable,Mostly unfavorable,Mostly favorable,A lot,Not too confident [OR],Not too confident [OR],Right decision,Mostly failed,,,,,Male,51,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,(VOL) Christian,,"No, would not",Seldom,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,4,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,.7516266,.6895567
200120,Cell phone,180919,180918,2,No,English,Northeast,NY,3,U,Northeast,NY,,3,Female,No,White,,,,FORM 1,,,18 or older,Satisfied,Approve,Not at all closely,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Same,"No, will not",For Trump,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,,,,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Excellent,Better,Only fair shape,Improve a lot,More secure today than it was before the 2008 economic crisis [OR],Republican Party,Republican Party,Democratic Party,,,Republican Party,Republican Party,,,Very concerned,,Lack of effort,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Protect the right of Americans to own guns,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,Approve,,Legal in all cases,"No, illegal",Very favorable,Very unfavorable,Very unfavorable,Nothing at all,Very confident,Very confident,,,Only fair,Poor,Poor,Poor,Male,82,Less than high school (Grades 1-8 or no formal schooling),No,White,White non-Hispanic,,Roman Catholic (Catholic),,"Yes, would",Once or twice a month,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress have an obligation to support Donald Trump's policies & programs because he is a Rep. president,Rep/lean Rep,Moderate,Mod-Lib Rep,Mod-Lib Rep/ln Rep,1,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.5342879,1.0814653
200122,Cell phone,180918,180918,1,No,English,South,FL,3,S,South,FL,,3,Male,Yes,White,,,,FORM 1,,,18 or older,Dissatisfied,Disapprove,Fairly closely,Democratic Party's candidate,,More,"Yes, will be a factor",Against Trump,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,,,,,,,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,Good,Same,Excellent shape,(VOL) Stay the same,No more secure today than it was before the 2008 economic crisis,Democratic Party,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,,Very concerned,,Circumstances beyond control,,Statement #2,Statement #1,Statement #2,Statement #2,Statement #2,,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,Disapprove,,Legal in all cases,"Yes, legal",Very unfavorable,Very favorable,Very favorable,A lot,Very confident,Very confident,,,,,,,Male,86,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"Yes, would",More than once a week,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,2,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,1.5824209,.8344064
200123,Cell phone,180918,180918,1,No,English,Midwest,OH,3,S,Midwest,OH,,3,Female,No,White,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Very closely,Democratic Party's candidate,,(VOL) Don't know/Refused,"Yes, will be a factor",Trump not much of a factor,Very important,Somewhat important,Not too important,,,,,,,Not at all important,Not too important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Only fair,Better,Good shape,(VOL) Stay the same,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Democratic Party,,,Republican Party,Republican Party,,Not too concerned [OR],,Because he or she had more advantages in life than most other people,Statement #1,Statement #2,Statement #1,,Statement #2,Statement #2,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,,Bad for the United States,Legal in most cases,"No, illegal",Very unfavorable,Mostly favorable,Mostly favorable,A little [OR],Very confident,Not at all confident,Right decision,Mostly failed,Excellent,Only fair,Excellent,(VOL) Don't know/Refused,Male,27,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Roman Catholic (Catholic),,"No, would not",Once or twice a month,"40 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,1,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.582806,.7258725
200124,Cell phone,180918,180918,1,No,English,South,VA,3,S,South,VA,,4,Female,Yes,White,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Not too closely,Democratic Party's candidate,,Less,"No, will not",Trump not much of a factor,Very important,Very important,Very important,,,,,,,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,,,,,Not even tempered,(VOL) Don't know/Refused,Doesn't keep his promises,Doesn't stand up for what he believes in,Only fair,Same,Only fair shape,Improve some,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Democratic Party,,,(VOL) Both equally,(VOL) Both equally,,Very concerned,,Because he or she worked harder than most other people [OR],Statement #1,Statement #1,Statement #1,,Statement #2,Statement #1,Protect the right of Americans to own guns,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,,Bad for the United States,Legal in all cases,"Yes, legal",(VOL) Can't rate,Mostly favorable,Mostly favorable,A little [OR],Not too confident [OR],Not at all confident,(VOL) Don't know/Refused,Mostly succeeded,,,,,Male,28,"Some college, no degree (includes some community college)",Yes,Black or African-American,Hispanic,U.S.,Nothing in particular,,,Seldom,"75 to under $100,000","Are you PROBABLY registered, but there is a chance your registration has lapsed [OR]",(VOL) Don't know/Refused,Democrat,,Dem/lean Dem,Moderate,DK/Ref to party or ideo,Cons-Mod Dem/ln Dem,2,2,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.9783049,1.3649818
200126,Cell phone,180918,180918,2,No,English,South,VA,4,S,South,VA,,4,Male,No,White,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Very closely,Democratic Party's candidate,,More,"Yes, will be a factor",Against Trump,Somewhat important,Very important,Very important,,,,,,,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Good,Same,Good shape,Improve some,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,Not too concerned [OR],,Because he or she had more advantages in life than most other people,Statement #1,Statement #1,Statement #1,,Statement #2,Statement #1,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Should BOTH be given equal priority,,Bad for the United States,Legal in all cases,"Yes, legal",Mostly unfavorable,Mostly favorable,Mostly favorable,A lot,Very confident,Not at all confident,Right decision,Mostly failed,Good,Only fair,Good,Only fair,Female,64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Roman Catholic (Catholic),,"No, would not",Once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,3,3,3+,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.4699865,.6657689
200127,Cell phone,180918,180918,1,No,English,South,FL,3,S,South,FL,,3,Female,Yes,White,,,,FORM 2,,,18 or older,Satisfied,Approve,Fairly closely,Republican Party's candidate,,More,"No, will not",(VOL) Don't know/Refused,Very important,Not at all important,Not at all important,,,,,,,Somewhat important,Not at all important,Somewhat important,Very important,Very important,Not at all important,Very important,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Excellent,(VOL) Don't know/Refused,Good shape,(VOL) Don't know/Refused,More secure today than it was before the 2008 economic crisis [OR],,,,Republican Party,Republican Party,,,Republican Party,Republican Party,,(VOL) Don't know/Refused,,Because he or she had more advantages in life than most other people,Statement #2,Statement #2,Statement #2,,Statement #1,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,,Good for the United States,Illegal in most cases,"No, illegal",Mostly favorable,Very unfavorable,Mostly unfavorable,A lot,Not too confident [OR],Somewhat confident,Right decision,(VOL) Don't know/Refused,,,,,Male,50,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",Yes,"Yes, would",Once a week,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress have an obligation to support Donald Trump's policies & programs because he is a Rep. president,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,3,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,1.0950307,1.0562042
200128,Cell phone,180918,180918,2,No,English,Northeast,NY,Highest,U,Northeast,NY,,Highest,Female,Yes,Or some other race,,,,FORM 2,,,18 or older,Dissatisfied,Approve,Fairly closely,Republican Party's candidate,,More,"Yes, will be a factor",For Trump,Very important,Not at all important,Very important,,,,,,,Very important,Very important,Not at all important,Not too important,Very important,Very important,Somewhat important,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Good,Better,Only fair shape,Get a lot worse,More secure today than it was before the 2008 economic crisis [OR],,,,Republican Party,Republican Party,,,Democratic Party,Democratic Party,,Very concerned,,Because he or she worked harder than most other people [OR],Statement #2,Statement #2,Statement #2,,Statement #1,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Better border security and stronger enforcement of our immigration laws,,Good for the United States,Legal in most cases,"Yes, legal",Mostly favorable,Very unfavorable,Very unfavorable,A lot,Not at all confident,Very confident,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,,,,Female,70,"Postgraduate or professional degree, including master's, doctorate, medical or law degree",No,White,White non-Hispanic,,Jewish (Judaism),,,A few times a year,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,1,,1,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,1.2421305,.5322562
200129,Cell phone,180918,180918,1,No,English,Midwest,IL,4,S,Midwest,OH,,4,Female,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,,,FORM 1,,,18 or older,Dissatisfied,Disapprove,Fairly closely,Democratic Party's candidate,,(VOL) Same,"No, will not",Trump not much of a factor,Somewhat important,Very important,Very important,Very important,(VOL) Don't know/Refused,Somewhat important,Somewhat important,Very important,Very important,,,,,,,,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,(VOL) Don't know/Refused,Same,Excellent shape,(VOL) Stay the same,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Neither,,,(VOL) Both equally,(VOL) Both equally,,,Very concerned,,Circumstances beyond control,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Control gun ownership,"Yes, government responsibility",(VOL) Don't know/Refused,,Should BOTH be given equal priority,Disapprove,,Legal in all cases,(VOL) Don't know/Refused,Mostly unfavorable,Mostly favorable,(VOL) Can't rate,A little [OR],Very confident,Not at all confident,,,,,,,Female,46,"Postgraduate or professional degree, including master's, doctorate, medical or law degree",No,White,White non-Hispanic,,Jewish (Judaism),,,More than once a week,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,4,2,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,.8627793,.7487173
200130,Cell phone,180918,180918,1,No,English,Northeast,NY,3,U,Northeast,NY,,3,Female,No,White,,,,FORM 1,,,18 or older,Satisfied,Approve,Very closely,Republican Party's candidate,,Less,"Yes, will be a factor",For Trump,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Not too important,,,,,,,,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,Good,Better,Excellent shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Democratic Party,Republican Party,Republican Party,,,Republican Party,Republican Party,,,Not at all concerned,,Circumstances beyond control,,Statement #2,Statement #2,(VOL) Neither/Both equally,Statement #2,Statement #2,,Protect the right of Americans to own guns,"Yes, government responsibility",Continue to be provided through a mix of private insurance companies and government programs,,Should BOTH be given equal priority,Approve,,Legal in most cases,"Yes, legal",Mostly favorable,Very unfavorable,Mostly favorable,A lot,Somewhat confident,Somewhat confident,,,Good,Only fair,Only fair,Only fair,Male,61,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",No,White,White non-Hispanic,,Roman Catholic (Catholic),,"No, would not",Once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,1,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.5480942,.6032327
200135,Cell phone,180918,180918,1,No,English,Midwest,MO,4,U,Midwest,MO,,4,Female,No,White,,,,FORM 1,,,18 or older,Dissatisfied,Disapprove,Fairly closely,Democratic Party's candidate,,More,"No, will not",Against Trump,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,,,,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,Only fair,Same,Only fair shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Republican Party,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,,Very concerned,,(VOL Both,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Should BOTH be given equal priority,Disapprove,,Legal in most cases,"Yes, legal",Mostly unfavorable,Very favorable,Very favorable,A lot,Very confident,Not at all confident,,,,,,,Male,66,"Some college, no degree (includes some community college)",No,Black or African-American,Black non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"Yes, would",Once or twice a month,"20 to under $30,000",Are you NOT registered to vote at your current address,Democrat,,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,1,,1,,,"No, home telephone",No landline,Cellphone,Respondent agrees,2.5947619,2.1263933
200137,Cell phone,180918,180918,1,No,English,South,AR,Lowest,S,South,AR,,2,Female,Yes,Asian or Asian-American,,,,FORM 2,,,18 or older,Dissatisfied,Disapprove,Very closely,Democratic Party's candidate,,More,"Yes, will be a factor",Against Trump,Very important,Very important,Very important,,,,,,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Poor,Same,Only fair shape,Get a little worse,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,Very concerned,,Because he or she had more advantages in life than most other people,Statement #2,Statement #1,Statement #1,,Statement #2,Statement #1,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,,Bad for the United States,Legal in all cases,"No, illegal",Very unfavorable,Mostly favorable,Very favorable,A lot,Very confident,Not at all confident,Wrong decision,Mostly failed,,,,,Female,65,Two year associate degree from a college or university,No,White,White non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"No, would not",Once a week,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2,2,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,.7599489,.6420126
